https://forum.mafiascum.net/viewtopic.php?f=53&t=80031
Mini Normal 2081
Moderator: ClearlyClarity
Designer: BulletNLynchProof
Current Update: Town Win

Player List:
Exilon, Vanilla Townie, survived and won
pisskop replaced Skygazer, Town Doctor, killed Night 1
chennisden replaced Hitei, Ascetic Town Jailkeeper, survived and won
Creature replaced Metta replaced Gamma Emerald replaced Robbnva, Mafia Informed, lynched Day 2
Lil Uzi Vert, Mafia Goon, lynched Day 1
skitter30, Vanilla Townie, survived and won
Menalque, Town Doctor Enabler, survived and won
Cinnamon, Vanilla Townie, survived and won
Dannflor replaced ViciousLamb, Vanilla Townie, survived and won
